DATE,CUUR0000SEHA
1/1/1989,130.5
2/1/1989,130.9
3/1/1989,131.1
4/1/1989,131.4
5/1/1989,131.7
6/1/1989,132.3
7/1/1989,133
8/1/1989,133.5
9/1/1989,133.9
10/1/1989,134.7
11/1/1989,135.2
12/1/1989,135.5
1/1/1990,135.8
2/1/1990,136
3/1/1990,136.5
4/1/1990,137
5/1/1990,137.3
6/1/1990,137.9
7/1/1990,138.7
8/1/1990,139.4
9/1/1990,140
10/1/1990,140.5
11/1/1990,140.7
12/1/1990,141.1
1/1/1991,141.2
2/1/1991,141.5
3/1/1991,142
4/1/1991,142.5
5/1/1991,142.8
6/1/1991,143
7/1/1991,143.7
8/1/1991,143.7
9/1/1991,144.6
10/1/1991,144.6
11/1/1991,145
12/1/1991,145.2
1/1/1992,145.4
2/1/1992,145.6
3/1/1992,146.4
4/1/1992,146.2
5/1/1992,146.3
6/1/1992,146.6
7/1/1992,147
8/1/1992,147
9/1/1992,147.2
10/1/1992,148
11/1/1992,148.6
12/1/1992,148.6
1/1/1993,148.9
2/1/1993,149.1
3/1/1993,149.1
4/1/1993,149.7
5/1/1993,149.9
6/1/1993,150.3
7/1/1993,150.4
8/1/1993,150.8
9/1/1993,151
10/1/1993,151.4
11/1/1993,151.6
12/1/1993,151.9
1/1/1994,152.2
2/1/1994,152.8
3/1/1994,153.2
4/1/1994,153.3
5/1/1994,153.3
6/1/1994,153.4
7/1/1994,153.9
8/1/1994,154.5
9/1/1994,155
10/1/1994,155.2
11/1/1994,155.6
12/1/1994,155.7
1/1/1995,156.1
2/1/1995,156.4
3/1/1995,156.7
4/1/1995,157
5/1/1995,157.2
6/1/1995,157.5
7/1/1995,157.9
8/1/1995,158.2
9/1/1995,158.5
10/1/1995,158.9
11/1/1995,159.3
12/1/1995,159.6
1/1/1996,160
2/1/1996,160.4
3/1/1996,160.6
4/1/1996,160.9
5/1/1996,161.2
6/1/1996,161.7
7/1/1996,162.2
8/1/1996,162.5
9/1/1996,162.9
10/1/1996,163.3
11/1/1996,163.7
12/1/1996,164
1/1/1997,164.4
2/1/1997,164.8
3/1/1997,165.1
4/1/1997,165.5
5/1/1997,165.9
6/1/1997,166.4
7/1/1997,166.8
8/1/1997,167.3
9/1/1997,167.8
10/1/1997,168.2
11/1/1997,168.7
12/1/1997,169.1
1/1/1998,169.5
2/1/1998,169.9
3/1/1998,170.3
4/1/1998,170.7
5/1/1998,171.1
6/1/1998,171.7
7/1/1998,172.2
8/1/1998,172.8
9/1/1998,173.4
10/1/1998,173.9
11/1/1998,174.5
12/1/1998,174.9
1/1/1999,175.3
2/1/1999,175.6
3/1/1999,176
4/1/1999,176.4
5/1/1999,176.7
6/1/1999,177.1
7/1/1999,177.5
8/1/1999,177.9
9/1/1999,178.4
10/1/1999,178.8
11/1/1999,179.8
12/1/1999,180.3
1/1/2000,181.1
2/1/2000,181.5
3/1/2000,182
4/1/2000,182.3
5/1/2000,182.7
6/1/2000,183.2
7/1/2000,183.9
8/1/2000,184.6
9/1/2000,185.3
